model	transcript	DEG.rank	baseMean	log2FoldChange	padj	manual.ann	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.Protein.Domains	Contaminant	xenic
adult thorax by morph	TR38145|c0_g1_i1	57	143.54	1.3522	4.7757e-17	NA		NA	SMART (TRANS)	No	FALSE
adult thorax by morph	TR78671|c0_g1_i1	62	1327.1	1.1034	6.9897e-17	COX6B1					FALSE
adult thorax by morph	TR282531|c2_g1_i1	63	417.96	1.4248	8.2238e-17	SDHC	SDHC	succinate dehydrogenase	PFAM (Sdh_cyt), SMART (TRANS)	No	FALSE
adult thorax by morph	TR252894|c0_g1_i1	64	217.26	1.772	1.0159e-16	sals		WH2	PFAM (WH2), SMART (COIL, WH2)	No	FALSE
adult thorax by morph	TR267485|c3_g1_i1	65	766.45	1.5114	1.2519e-16	hexokinase	HEX-A	hexokinase	PFAM (Hexokinase_1, Hexokinase_2)	No	FALSE
adult thorax by morph	TR212335|c0_g1_i1	67	370.12	1.4023	1.3668e-16	NA	NDUFB3	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	PFAM (NDUF_B12), SMART (TRANS)	No	FALSE
adult thorax by morph	TR204379|c1_g1_i1	68	447.43	1.1197	1.7359e-16	ATP5D	ATP5D	ATP synthase	PFAM (ATP-synt_DE_N, ATP-synt_DE), SMART (COIL)	No	FALSE
adult thorax by morph	TR242018|c13_g2_i1	69	107.62	2.0638	1.7808e-16	NA		valacyclovir hydrolase	PFAM (Abhydrolase_1, Lipase_3), SMART (TRANS)	No	FALSE
adult thorax by morph	TR240975|c0_g1_i1	71	780.82	1.4636	1.8712e-16	Rab5		gdp gtp exchange	PFAM (VPS9, zf-A20), SMART (VPS9, COIL, ZnF_A20)	No	FALSE
adult thorax by morph	TR242019|c0_g2_i1	74	285.72	1.6095	2.2696e-16	RF1	MTRF1L	mitochondrial translational release factor 1-like	PFAM (RF-1, PCRF), SMART (COIL, PCRF, SIGNAL)	No	FALSE
adult thorax by morph	TR200041|c3_g2_i2	75	120.43	1.5257	2.2909e-16	NA		PPR repeat	PFAM (PPR, Rad21_Rec8_N), SMART (COIL)	No	FALSE
adult thorax by morph	TR248636|c0_g1_i1	78	323.7	1.3243	2.5993e-16	NA		mitochondrial inner membrane	PFAM (Mitofilin), SMART (COIL, TRANS)	No	FALSE
adult thorax by morph	TR274642|c1_g1_i2	79	532.23	1.4034	2.8348e-16	NA		3-hydroxyacyl-CoA	PFAM (3HCDH_N, 3HCDH, Pyr_redox, AlaDh_PNT_C, NAD_binding_2, NAD_Gly3P_dh_N, F420_oxidored, UDPG_MGDP_dh_N, GIDA), SMART (TRANS)	No	FALSE
adult thorax by morph	TR102977|c0_g1_i1	80	213.81	1.4748	3.0862e-16	NA		NADH-ubiquinone oxidoreductase ashi subunit	PFAM (NDUF_B8, DNA_pol_B_2), SMART (TRANS)	No	FALSE
adult thorax by morph	TR239054|c0_g1_i1	81	218.62	1.2694	3.5743e-16	NA	NDUFS3	NADH dehydrogenase (ubiquinone) Fe-S protein 3	PFAM (Complex1_30kDa)	No	FALSE
adult thorax by morph	TR210381|c0_g3_i2	82	463.15	1.3559	4.0018e-16	NA		Carrier of the growing fatty acid chain in fatty acid biosynthesis (By similarity)	PFAM (PP-binding)	No	FALSE
adult thorax by morph	TR245391|c0_g1_i1	83	532.17	1.4745	4.4061e-16	Scsα1	SCSALPHA	synthetase alpha subunit	PFAM (Ligase_CoA, CoA_binding), SMART (CoA_binding)	No	FALSE
adult thorax by morph	TR263089|c2_g4_i1	84	1206.8	1.9803	4.4536e-16	myosin LC					FALSE
adult thorax by morph	TR207123|c0_g4_i1	86	1596.2	1.1758	5.8896e-16	CcO		cytochrome C oxidase	PFAM (COX5A)	No	FALSE
adult thorax by morph	TR285672|c2_g1_i4	88	106.16	1.6833	7.7246e-16	JAZF1		ZnF_C2H2	SMART (ZnF_C2H2, COIL)	No	FALSE
adult thorax by morph	TR282472|c0_g1_i1	89	127.95	1.5846	8.2827e-16	NA		Enoyl-CoA hydratase/isomerase family	PFAM (ECH)	No	FALSE
adult thorax by morph	TR230881|c1_g2_i2	90	83.19	1.4653	8.8498e-16	ADK3	ADK3	adenylate kinase	PFAM (ADK_lid, ADK)	No	FALSE
adult thorax by morph	TR135868|c0_g1_i1	91	160.64	1.5084	1.0419e-15	NA		NADH ubiquinone oxidoreductase subunit NDUFA12	PFAM (NDUFA12)	No	FALSE
adult thorax by morph	TR227695|c1_g2_i1	92	126.39	1.0084	1.0419e-15	rpL40		ribosomal protein L40	PFAM (MRP-L28), SMART (COIL)	No	FALSE
adult thorax by morph	TR207640|c0_g1_i1	94	153.08	1.5323	1.3347e-15	NA	ARC42	acyl-CoA dehydrogenase	PFAM (Acyl-CoA_dh_N, Acyl-CoA_dh_M, Acyl-CoA_dh_1, Acyl-CoA_dh_2)	No	FALSE
adult thorax by morph	TR227555|c2_g9_i1	95	34.075	1.9025	1.4515e-15	NA		Two component regulator propeller domain protein	PFAM (Big_2, SLH, Reg_prop), SMART (SIGNAL, BID_2, TRANS)	No	FALSE
adult thorax by morph	TR242030|c0_g1_i1	96	851.37	1.2373	1.4515e-15	NA		Isocitrate dehydrogenase	PFAM (Iso_dh), SMART (TRANS)	No	FALSE
adult thorax by morph	TR205317|c0_g1_i1	97	77.784	2.0751	1.5129e-15	titin					FALSE
adult thorax by morph	TR272793|c1_g1_i1	98	670.45	1.3536	1.6622e-15	ATPSYN-D	ATPSYN-D	ATP synthase	PFAM (Mt_ATP-synt_D), SMART (COIL)	No	FALSE
adult thorax by morph	TR219566|c0_g1_i1	99	141.43	1.5984	2.8457e-15	ALAS	ALAS	5-aminolevulinate synthase	PFAM (Aminotran_5, Cys_Met_Meta_PP, Aminotran_1_2, Beta_elim_lyase)	No	FALSE
adult thorax by morph	TR215852|c0_g1_i2	100	34.063	1.8635	3.1553e-15	ErR	ERR	Estrogen-related receptor	PFAM (Hormone_recep, zf-C4), SMART (HOLI, ZnF_C4)	No	FALSE
adult thorax by morph	TR263020|c0_g1_i1	101	17.778	3.63	3.8143e-15	aconitase					FALSE
adult thorax by morph	TR62196|c0_g1_i1	102	735.9	1.1697	3.8604e-15	COX5B	COX5B	cytochrome C oxidase	PFAM (COX5B)	No	FALSE
adult thorax by morph	TR270801|c2_g2_i4	103	221.84	1.5321	4.2042e-15	NA		Involved in proper cytoplasmic distribution of mitochondria (By similarity)	PFAM (DUF727), SMART (COIL)	No	FALSE
adult thorax by morph	TR259416|c0_g1_i1	104	102.12	1.1799	4.2942e-15	NA		PH domain	PFAM (PH), SMART (PH, COIL)	No	FALSE
adult thorax by morph	TR270941|c3_g1_i1	105	4639.4	2.5576	4.4894e-15	NA		light chain	SMART (EFh, SIGNAL)	No	FALSE
adult thorax by morph	TR272694|c0_g1_i1	107	227.72	1.1989	7.0898e-15	NA		NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	PFAM (CHCH, Cmc1)	No	FALSE
adult thorax by morph	TR91025|c0_g1_i2	108	319.6	1.4214	7.226e-15	rpS24	RPS24	40S ribosomal protein S24	PFAM (Ribosomal_S24e), SMART (TRANS)	No	FALSE
adult thorax by morph	TR197662|c2_g1_i1	109	327.91	1.4638	7.7989e-15	NA		NADH-ubiquinone oxidoreductase Fe-S protein 7	PFAM (Oxidored_q6)	No	FALSE
adult thorax by morph	TR256753|c16_g1_i3	110	15015	1.6426	8.4746e-15	myosin HC	MHC	Myosin heavy chain	PFAM (Myosin_head, Myosin_tail_1, Myosin_N, IQ), SMART (COIL, IQ, MYSc)		FALSE
adult thorax by morph	TR94473|c1_g1_i1	115	432.78	1.295	1.3099e-14	NA		NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	PFAM (Complex1_LYR)	No	FALSE
adult thorax by morph	TR283040|c0_g1_i1	116	359.73	1.2094	1.5092e-14	NA		ATP-grasp domain	PFAM (Ligase_CoA, ATP-grasp_2, GARS_A), SMART (TRANS)	No	FALSE
adult thorax by morph	TR285628|c0_g1_i1	117	159.26	1.5101	1.5471e-14	NA	NDUFS4	NADH dehydrogenase (Ubiquinone) Fe-S protein 4	PFAM (ETC_C1_NDUFA4)	No	FALSE
adult thorax by morph	TR271376|c1_g5_i1	118	190.84	1.3342	1.813e-14	ND42	ND42	NADH-ubiquinone oxidoreductase 42 kda subunit	PFAM (dNK, Thymidylate_kin, UPF0079)	No	FALSE
adult thorax by morph	TR207788|c0_g1_i1	119	804.35	1.2286	1.8806e-14	NA		ATP synthase	PFAM (WRW), SMART (TRANS)	No	FALSE
adult thorax by morph	TR255798|c1_g1_i10	120	526.56	1.741	1.8806e-14	NA		LIM domain	PFAM (LIM), SMART (LIM, COIL)	No	FALSE
adult thorax by morph	TR268059|c0_g1_i4	121	165.66	1.8704	1.923e-14	NA		FAR-17a/AIG1-like protein	PFAM (Far-17a_AIG1), SMART (TRANS)	No	FALSE
adult thorax by morph	TR91121|c0_g1_i2	123	618.71	1.2774	2.1296e-14	ATP5D					FALSE
adult thorax by morph	TR223417|c0_g1_i1	124	94.323	1.7453	2.4828e-14	NA	NDUFS6	NADH dehydrogenase (ubiquinone) Fe-S protein 6	PFAM (zf-CHCC), SMART (TRANS)	No	FALSE
adult thorax by morph	TR233144|c0_g1_i1	126	1049.7	1.443	3.16e-14	fizzy	FZY	WD domain, G-beta repeat	PFAM (WD40, NB-ARC, CARD), SMART (WD40)	No	FALSE
adult thorax by morph	TR256065|c0_g1_i1	129	549.51	1.3668	4.2441e-14	YIP2	YIP2	Thiolase, C-terminal domain	PFAM (Thiolase_N, Thiolase_C)	No	FALSE
adult thorax by morph	TR283730|c3_g1_i2	130	170.98	1.5535	5.8575e-14	FMRFaR		Inherit from biNOG: Serpentine type 7TM GPCR chemoreceptor Srw	PFAM (7TM_GPCR_Srw, 7tm_1, 7TM_GPCR_Srsx), SMART (TRANS, SIGNAL)	No	FALSE
adult thorax by morph	TR198161|c1_g1_i1	132	52.81	2.5223	5.9526e-14	NA		AMP-binding enzyme	PFAM (AMP-binding), SMART (TRANS)	No	FALSE
adult thorax by morph	TR238480|c3_g1_i1	137	287.51	1.1848	7.2395e-14	NA		ATP synthase	PFAM (Mt_ATP-synt_B), SMART (COIL)	No	FALSE
adult thorax by morph	TR283495|c0_g4_i2	140	443.36	1.198	7.7307e-14	SDHA	SDHA	succinate dehydrogenase	PFAM (FAD_binding_2, Succ_DH_flav_C, Pyr_redox_2), SMART (SIGNAL)	No	FALSE
adult thorax by morph	TR252871|c0_g1_i1	142	670.72	1.1384	8.1061e-14	NA	GDH	Glutamate dehydrogenase	PFAM (ELFV_dehydrog_N, ELFV_dehydrog), SMART (ELFV_dehydrog)	No	FALSE
adult thorax by morph	TR237004|c0_g1_i4	144	964.2	1.2168	9.0068e-14	OGDH		2-oxoglutarate dehydrogenase	PFAM (E1_dh, Transket_pyr), SMART (Transket_pyr, SIGNAL)	No	FALSE
adult thorax by morph	TR233558|c0_g1_i1	145	24.67	2.1455	9.9942e-14	Lcch3	LCCH3	chloride channel	PFAM (Neur_chan_LBD, Neur_chan_memb), SMART (TRANS, SIGNAL)	No	FALSE
adult thorax by morph	TR246524|c0_g2_i1	146	69.385	1.5166	1.0419e-13	NA		ABC1 family	PFAM (ABC1), SMART (COIL, TRANS)	No	FALSE
adult thorax by morph	TR98015|c0_g1_i1	147	836.56	1.0774	1.0439e-13	WAL	WAL	electron transfer flavoprotein subunit alpha	PFAM (ETF_alpha, ETF), SMART (ETF)	No	FALSE
adult thorax by morph	TR274218|c0_g6_i1	148	44.083	1.0583	1.1513e-13	COQ10		Coenzyme Q-binding protein COQ10	PFAM (Polyketide_cyc)	No	FALSE
adult thorax by morph	TR253137|c1_g2_i1	150	82.934	1.4715	1.1968e-13	NA		transmembrane protein 69	PFAM (DUF3429), SMART (TRANS)	No	FALSE
adult thorax by morph	TR203493|c7_g2_i1	151	90.736	1.3416	1.3327e-13	NA		Uncharacterised conserved protein (DUF2315)	PFAM (DUF2315)	No	FALSE
adult thorax by morph	TR261450|c1_g1_i1	154	339.17	1.2063	2.0799e-13	NA	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1	PFAM (SLBB, Complex1_51K, NADH_4Fe-4S), SMART (NADH_4Fe-4S)	No	FALSE
adult thorax by morph	TR245259|c15_g7_i1	155	36.348	1.8828	2.1253e-13	NA		PTPc_DSPc	PFAM (DSPc, Y_phosphatase), SMART (PTPc_DSPc, COIL)	No	FALSE
adult thorax by morph	TR206311|c0_g1_i1	160	56.956	1.1222	3.1399e-13	rpL1	MRPL1	Ribosomal protein L1	PFAM (Ribosomal_L1)	No	FALSE
adult thorax by morph	TR200611|c0_g1_i1	161	29.096	1.6135	3.2368e-13	NA		NA		No	FALSE
adult thorax by morph	TR242030|c0_g3_i1	163	538.79	1.1276	3.8697e-13	NA		Dehydrogenase	PFAM (adh_short, KR, Epimerase), SMART (TRANS)	No	FALSE
adult thorax by morph	TR198722|c0_g1_i1	165	91.989	1.7104	4.4203e-13	NA		Inherit from KOG: Solute carrier family 3 (Cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	PFAM (Alpha-amylase), SMART (TRANS)	No	FALSE
adult thorax by morph	TR242018|c13_g4_i1	167	26.073	1.6574	4.5438e-13	NA		valacyclovir hydrolase	PFAM (Abhydrolase_1, Lipase_3), SMART (TRANS)	No	FALSE
adult thorax by morph	TR256405|c2_g2_i1	168	101.86	1.1206	4.5659e-13	NA		ATP11 protein	PFAM (ATP11), SMART (COIL)	No	FALSE
adult thorax by morph	TR209559|c6_g1_i1	169	242.38	1.1238	4.6072e-13	NA	NDUFS5	NADH dehydrogenase (ubiquinone) Fe-S protein 5	PFAM (Ndufs5)	No	FALSE
adult thorax by morph	TR207564|c0_g1_i1	170	329.32	1.3798	4.7093e-13	NA		Electron transfer flavoprotein	PFAM (ETF), SMART (ETF)	No	FALSE
adult thorax by morph	TR54535|c3_g1_i1	174	94.592	1.2936	5.5209e-13	NA	LAS	Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives (By similarity)	PFAM (Radical_SAM), SMART (Elp3)	No	FALSE
adult thorax by morph	TR197979|c1_g1_i1	176	422.63	1.3243	5.6104e-13	NA		succinyl-CoA synthetase beta	PFAM (Ligase_CoA, ATP-grasp_2, GARS_A, RimK), SMART (COIL)	No	FALSE
adult thorax by morph	TR241302|c1_g1_i2	179	683.81	1.3063	7.1569e-13	NA		NA	SMART (COIL, TRANS)	No	FALSE
adult thorax by morph	TR64347|c0_g1_i1	182	86.844	1.0625	8.4309e-13	NA		Iron-binding zinc finger CDGSH type	PFAM (zf-CDGSH), SMART (ZnF_CDGSH)	No	FALSE
adult thorax by morph	TR85835|c0_g1_i1	184	151.05	1.0622	1.1129e-12	NA		NADH dehydrogenase	PFAM (ETC_C1_NDUFA5), SMART (COIL)	No	FALSE
adult thorax by morph	TR201825|c0_g7_i4	185	12.266	1.6912	1.1226e-12	castor		ZnF_C2H2	PFAM (AT_hook), SMART (ZnF_C2H2, AT_hook, COIL)	No	FALSE
adult thorax by morph	TR232873|c0_g1_i1	188	55.458	1.2336	1.5033e-12	NA		FAST kinase-like protein, subdomain 1	PFAM (FAST_1, FAST_2, RAP), SMART (RAP)	No	FALSE
adult thorax by morph	TR214250|c1_g1_i1	189	224.86	1.0815	1.555e-12	HINT1	HINT1	histidine triad nucleotide binding protein	PFAM (DcpS_C, HIT), SMART (SIGNAL)	No	FALSE
adult thorax by morph	TR35396|c0_g1_i1	191	129.64	1.0773	1.9018e-12	NA		NADH-ubiquinone oxidoreductase B15 subunit (NDUFB4)	PFAM (NDUF_B4), SMART (TRANS)	No	FALSE
adult thorax by morph	TR233142|c1_g1_i2	194	78.101	1.0642	2.0673e-12	NA		NA		No	FALSE
adult thorax by morph	TR236411|c4_g1_i1	196	9.6134	2.5882	2.335e-12	NA		BR serine threonine-protein kinase	PFAM (Pkinase, Pkinase_Tyr), SMART (S_TKc, STYKc)	No	FALSE
adult thorax by morph	TR265057|c0_g1_i1	198	28.934	2.4809	2.5841e-12	NA		K01512 acylphosphatase EC 3.6.1.7	PFAM (Acylphosphatase)	No	FALSE
adult thorax by morph	TR284867|c1_g1_i3	199	10151	1.2244	2.5918e-12	troponin T	TPNT	Troponin T	PFAM (Troponin), SMART (COIL)	No	FALSE
adult thorax by morph	TR209268|c0_g2_i1	202	783.74	1.1118	3.1534e-12	ATP5C1	ATP5C1	Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Part of the complex F(1) domain and the central stalk which is part of the complex rotary element. The gamma subunit protrudes into the catalytic domain formed of alpha(3)beta(3). Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits	PFAM (ATP-synt), SMART (SIGNAL)	No	FALSE
adult thorax by morph	TR220441|c0_g1_i2	203	18.727	1.3099	3.1534e-12	ATPAF2		ATP synthase mitochondrial F1 complex assembly factor	PFAM (ATP12)	No	FALSE
adult thorax by morph	TR202690|c0_g1_i1	204	53.761	1.7677	3.4646e-12	NA		MYND finger	PFAM (zf-MYND, SET), SMART (SET, COIL)	No	FALSE
adult thorax by morph	TR263396|c0_g1_i1	205	182.7	1.0674	3.5018e-12	NA		Mpv17 / PMP22 family 	PFAM (Mpv17_PMP22), SMART (TRANS)	No	FALSE
adult thorax by morph	TR221567|c4_g1_i2	206	9.887	4.2192	3.5389e-12	lactase	LCT	Lactase-like	PFAM (Glyco_hydro_1), SMART (SIGNAL, TRANS)	No	FALSE
