model	transcript	DEG.rank	baseMean	log2FoldChange	padj	manual.ann	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.Protein.Domains	Contaminant	xenic
adult gonad by sex	TR202625|c0_g1_i1	29	739.13	3.8502	0	E2-Ub ligase	UBCD4	ubiquitin-conjugating enzyme	PFAM (UQ_con, UBA), SMART (UBCc, UBA)	No	FALSE
adult gonad by sex	TR203533|c0_g1_i1	30	772.31	10.91	0	pyruvate kinase	PYK	Pyruvate kinase	PFAM (PK, PK_C, HpcH_HpaI), SMART (COIL)	No	FALSE
adult gonad by sex	TR203551|c0_g1_i1	31	313.11	6.8928	0	clavesin-1		Cellular retinaldehyde binding protein	PFAM (CRAL_TRIO, CRAL_TRIO_N), SMART (CRAL_TRIO_N, COIL, SEC14)	No	FALSE
adult gonad by sex	TR205182|c0_g1_i2	33	1178.4	10.171	0	NA		RINGv	PFAM (zf-C3HC4), SMART (TRANS, RINGv)	No	FALSE
adult gonad by sex	TR205805|c0_g2_i2	34	227.12	5.0406	0	NA		E1-E2 ATPase	PFAM (E1-E2_ATPase, Hydrolase, PBP), SMART (TRANS, COIL)	No	FALSE
adult gonad by sex	TR206285|c1_g11_i1	35	265.11	5.1426	0	NA	FLAD1	FAD1 flavin adenine dinucleotide synthetase homolog (S. cerevisiae)	PFAM (PAPS_reduct, MoCF_biosynth), SMART (MoCF_biosynth, COIL)	No	FALSE
adult gonad by sex	TR206337|c0_g1_i1	36	570.68	10.807	0	NA		Inherit from NOG: spermatid development		No	FALSE
adult gonad by sex	TR206746|c25_g25_i2	37	879.39	3.6527	0	NA		proline synthetase	PFAM (Ala_racemase_N)	No	FALSE
adult gonad by sex	TR206783|c8_g1_i2	38	227.83	3.738	0	NA		lipase 3-like	PFAM (Abhydrolase_1, Abhydro_lipase), SMART (SIGNAL, TRANS)	No	FALSE
adult gonad by sex	TR207117|c0_g1_i1	41	471.36	7.2423	0	CCT3	CCT3	Chaperonin containing Tcp1, subunit 3 (Gamma)	PFAM (Cpn60_TCP1)	No	FALSE
adult gonad by sex	TR207292|c0_g1_i1	42	815.4	5.328	0	centractin		K16575 alpha-centractin	PFAM (Actin), SMART (ACTIN)	No	FALSE
adult gonad by sex	TR207304|c0_g1_i2	43	588.2	4.7197	0	NA		Topoisomerase II-associated protein PAT1	PFAM (PAT1), SMART (COIL)	No	FALSE
adult gonad by sex	TR208630|c0_g2_i1	45	172.95	8.6462	0	NA	CBG10000	V-type proton ATPase 16 kDa proteolipid subunit 2 3	PFAM (ATP-synt_C), SMART (TRANS)	No	FALSE
adult gonad by sex	TR208784|c0_g1_i1	47	512.8	-4.3515	0	cyclin-E	CYCE	cyclin e	PFAM (Cyclin_N, Cyclin_C), SMART (CYCLIN)	No	FALSE
adult gonad by sex	TR208895|c0_g1_i1	48	261.55	6.3785	0	rootletin	ROOTLETIN	K16469 rootletin	PFAM (Taxilin), SMART (COIL, SIGNAL)	No	FALSE
adult gonad by sex	TR209447|c0_g2_i1	50	422.25	5.7134	0	TAF6	TAF6	Transcription initiation factor TFIID	PFAM (DUF1546, TAF, Histone), SMART (TAF, COIL)	No	FALSE
adult gonad by sex	TR209480|c0_g1_i1	51	347.35	10.552	0	E3-Ub ligase		Inherit from opiNOG: Mdm2, p53 E3 ubiquitin protein ligase homolog (mouse)	PFAM (SWIB), SMART (RING)	No	FALSE
adult gonad by sex	TR209938|c1_g1_i2	55	221.37	8.7417	0	Tssk6					FALSE
adult gonad by sex	TR210641|c1_g1_i1	57	5392	11.82	0	NA		Protein of unknown function (DUF1431)	PFAM (DUF1431), SMART (DM6)	No	FALSE
adult gonad by sex	TR210842|c0_g1_i1	58	1392.3	10.956	0	NA		NUDIX domain	PFAM (NUDIX)	No	FALSE
adult gonad by sex	TR211429|c0_g5_i1	61	730.14	10.627	0	NA		NA			FALSE
adult gonad by sex	TR211469|c1_g1_i1	62	666.14	10.221	0	caspar	CASP	Fas-associated factor	PFAM (UBX, ubiquitin), SMART (UAS, UBX, COIL, UBQ)	No	FALSE
adult gonad by sex	TR211746|c0_g1_i1	64	634.75	-4.4065	0	cyclin-B3	CYCB3	g2 mitotic-specific	PFAM (Cyclin_C, Cyclin_N), SMART (CYCLIN)	No	FALSE
adult gonad by sex	TR213290|c0_g1_i1	65	578.11	10.874	0	NA		Inherit from biNOG: Poly (ADP-ribose) polymerase family, member 16	PFAM (PARP, COesterase, Ins_allergen_rp, Abhydrolase_3), SMART (TRANS, COIL)	No	FALSE
adult gonad by sex	TR213413|c0_g1_i2	66	2699.3	5.0146	0	cut up					FALSE
adult gonad by sex	TR216504|c1_g1_i1	71	317.2	9.6589	0	NA		2-oxoglutarate dehydrogenase	PFAM (E1_dh, Transket_pyr), SMART (Transket_pyr, SIGNAL)	No	FALSE
adult gonad by sex	TR216607|c0_g1_i4	72	411.86	7.9488	0	NA		NA	SMART (COIL)	No	FALSE
adult gonad by sex	TR217514|c0_g1_i1	75	881.93	10.88	0	NA		UPF0605 protein	PFAM (DUF2475), SMART (COIL)	No	FALSE
adult gonad by sex	TR217527|c0_g1_i2	76	821.69	10.83	0	NA		conserved hypothetical protein		No	FALSE
adult gonad by sex	TR218620|c0_g2_i1	77	1073.2	3.8249	0	NA		Pfam:UPF0005	PFAM (UPF0005), SMART (TRANS)	No	FALSE
adult gonad by sex	TR219129|c0_g1_i2	78	557.32	10.323	0	CEP78	CEP78	centrosomal protein 78kDa	SMART (LRR, COIL)	No	FALSE
adult gonad by sex	TR219489|c0_g4_i2	79	287.07	5.9528	0	FNIP1	FNIP1	folliculin interacting protein	SMART (COIL)	No	FALSE
adult gonad by sex	TR219613|c10_g1_i9	82	1001.5	5.0457	0	NA		Inherit from biNOG: coiled-coil domain containing 40	SMART (COIL)	No	FALSE
adult gonad by sex	TR220138|c1_g2_i1	84	318.31	9.7338	0	NA		Heat shock protein	PFAM (Cpn60_TCP1), SMART (COIL)	No	FALSE
adult gonad by sex	TR221533|c0_g1_i2	85	1400.5	11.405	0	hsp70	HSPA8	Heat shock 70kDa protein	PFAM (HSP70, MreB_Mbl), SMART (COIL)	No	FALSE
adult gonad by sex	TR222047|c0_g2_i1	87	790.91	10.326	0	NA		Zinc carboxypeptidase	PFAM (Peptidase_M14), SMART (TRANS, COIL)	No	FALSE
adult gonad by sex	TR222053|c0_g1_i1	88	723.26	8.681	0	TRAF3IP1	TRAF3IP1	TNF receptor-associated factor 3 interacting protein 1	PFAM (MIP-T3), SMART (COIL)	No	FALSE
adult gonad by sex	TR222598|c0_g2_i2	89	527.18	10.373	0	NA		subunit D	PFAM (ATP-synt_D), SMART (COIL)	No	FALSE
adult gonad by sex	TR222803|c0_g1_i1	91	806.57	10.946	0	NA		Inherit from NOG: spermatid development		No	FALSE
adult gonad by sex	TR223056|c0_g2_i3	92	358.93	6.0911	0	NA		Pfam:UPF0041	PFAM (UPF0041), SMART (TRANS)	No	FALSE
adult gonad by sex	TR223060|c1_g3_i7	93	239.2	4.7889	0	PGI	PGI	glucose-6-phosphate isomerase	PFAM (PGI)	No	FALSE
adult gonad by sex	TR224151|c0_g1_i1	94	1656.7	10.009	0	dynein HC		Inherit from biNOG: Dynein, axonemal heavy chain	PFAM (DHC_N2, Dynein_heavy, AAA_5, DHC_N1), SMART (COIL)	No	FALSE
adult gonad by sex	TR224992|c0_g1_i1	98	311.36	6.443	0	formin		SH3 domain	PFAM (SH3_1, SH3_2), SMART (SH3, COIL)	No	FALSE
adult gonad by sex	TR225577|c1_g1_i2	99	1548.9	-2.6164	0	me31B	ME31B	ATP-dependent RNA helicase	PFAM (Helicase_C, DEAD), SMART (DEXDc, HELICc)	No	FALSE
adult gonad by sex	TR225601|c1_g3_i4	100	687.93	9.4638	0	GSK3	SGG	K03083 glycogen synthase kinase 3 beta EC 2.7.11.26	PFAM (Pkinase_Tyr, Pkinase), SMART (S_TKc, COIL, STYKc)	No	FALSE
adult gonad by sex	TR225604|c2_g1_i2	101	145.19	4.9601	0	NA	TCTN1	Tectonic family member 1	PFAM (DUF1619), SMART (SIGNAL)	No	FALSE
adult gonad by sex	TR226583|c2_g2_i1	102	232.28	3.896	0	NA		stromal membrane-associated protein	PFAM (ArfGap), SMART (ArfGap, COIL)	No	FALSE
adult gonad by sex	TR227186|c0_g2_i1	103	589.07	10.685	0	NA		Pfam:DUF1309	PFAM (DUF1309)	No	FALSE
adult gonad by sex	TR227382|c1_g1_i1	105	646.67	8.2983	0	NA	CCDC147	Coiled-coil domain containing 147	SMART (COIL)	No	FALSE
adult gonad by sex	TR228542|c0_g1_i1	108	1061.5	11.191	0	Rab35		ras-related protein	PFAM (GTP_EFTU, Miro, Ras, Arf, Gtr1_RagA, FeoB_N, UCR_UQCRX_QCR9), SMART (RAB)	No	FALSE
adult gonad by sex	TR228580|c0_g1_i2	109	201.22	7.3473	0	NA		Notch ligand involved in the mediation of Notch signaling (By similarity)	PFAM (EGF, EGF_2, EGF_CA, Laminin_G_2, GCC2_GCC3, Sushi, Laminin_G_1, HYR, DSL, MNNL, CUB, Notch, F5_F8_type_C, Ank, NOD, NODP), SMART (EGF_CA, EGF, CCP, TRANS, LamG, SIGNAL, DSL, EGF_like, ANK, VWC, CUB, NL, FA58C, FOLN, TNFR, LDLa)	No	FALSE
adult gonad by sex	TR229636|c0_g1_i1	110	411.38	10.483	0	NA	UBCD4	ubiquitin-conjugating enzyme	PFAM (UQ_con, UBA), SMART (UBCc, UBA)	No	FALSE
adult gonad by sex	TR229668|c0_g1_i2	111	163.33	8.4247	0	NA		Leucine Rich Repeat	PFAM (LRR_1), SMART (LRR, LRR_TYP, COIL)	No	FALSE
adult gonad by sex	TR229926|c0_g2_i1	112	133.25	5.9521	0	NA		Inherit from biNOG: Ubiquitin protein ligase E3 component n-recognin 3	PFAM (zf-UBR), SMART (COIL, RING)	No	FALSE
adult gonad by sex	TR230835|c2_g1_i2	113	204.13	7.2716	0	NA		Tripartite motif protein	PFAM (zf-B_box, MATH), SMART (COIL, BBC, BBOX, MATH, RING)	No	FALSE
adult gonad by sex	TR230864|c2_g1_i1	114	1078	5.1077	0	TPI1	TPI1	triosephosphate isomerase 1	PFAM (TIM)	No	FALSE
adult gonad by sex	TR231206|c4_g1_i1	117	545.73	4.6729	0	NA		DnaJ domain	PFAM (DnaJ, Thioredoxin, AhpC-TSA), SMART (DnaJ, TRANS, SIGNAL, COIL)	No	FALSE
adult gonad by sex	TR231208|c0_g2_i1	118	167.74	6.8973	0	NA	L(2)GL	giant larvae	PFAM (WD40, LLGL, Lgl_C), SMART (WD40, TRANS)	No	FALSE
adult gonad by sex	TR231344|c0_g1_i3	121	715.56	9.3587	0	NA		tubulin-tyrosine ligase activity	PFAM (TTL), SMART (COIL)	No	FALSE
adult gonad by sex	TR231706|c0_g2_i1	122	819.37	10.765	0	NA		Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	PFAM (Tubulin, Tubulin_C), SMART (Tubulin, Tubulin_C)	No	FALSE
adult gonad by sex	TR232052|c5_g2_i1	123	242.51	-3.0703	0	NA	GUS	SPRY domain-containing SOCS box protein	PFAM (SPRY, SOCS_box), SMART (SOCS_box, SPRY)	No	FALSE
adult gonad by sex	TR232072|c0_g1_i2	124	348.2	5.178	0	NA		Inherit from biNOG: Leber congenital amaurosis 5	SMART (COIL, TRANS)	No	FALSE
adult gonad by sex	TR233082|c1_g1_i7	128	368.56	8.904	0	NA		RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	PFAM (RRM_1), SMART (RING, RRM, COIL, RRM_1, TRANS)	No	FALSE
adult gonad by sex	TR235263|c2_g1_i5	131	201.33	5.3721	0	NA		beta-tubulin cofactor D	PFAM (TFCD_C), SMART (TRANS)	No	FALSE
adult gonad by sex	TR235318|c17_g1_i1	132	1182.2	3.9566	0	ZnF135		Zinc finger protein	PFAM (zf-C2H2), SMART (ZnF_C2H2, COIL)	No	FALSE
adult gonad by sex	TR235684|c1_g1_i1	133	251.38	8.5275	0	NA	MDH2	Malate dehydrogenase	PFAM (Ldh_1_N, Ldh_1_C), SMART (ZnF_U1, ZnF_C2H2)	No	FALSE
adult gonad by sex	TR237263|c0_g1_i1	135	1423.2	10.985	0	tubulin-a	TUBA1A	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	PFAM (Tubulin, Tubulin_C), SMART (Tubulin, Tubulin_C, COIL)	No	FALSE
adult gonad by sex	TR238586|c1_g1_i1	138	528.88	10.448	0	NA		ATPase, H transporting, lysosomal 42kDa, V1 subunit C1	PFAM (V-ATPase_C), SMART (COIL)	No	FALSE
adult gonad by sex	TR239275|c1_g3_i1	139	142.09	7.2505	0	NA		X-prolyl aminopeptidase (Aminopeptidase P)	PFAM (Creatinase_N, Peptidase_M24), SMART (SIGNAL, TRANS)	No	FALSE
adult gonad by sex	TR239679|c0_g1_i2	140	859.66	9.5264	0	NA	GLUD1	glutamate dehydrogenase	PFAM (ELFV_dehydrog, ELFV_dehydrog_N), SMART (ELFV_dehydrog)	No	FALSE
adult gonad by sex	TR239867|c1_g6_i1	141	783	10.161	0	NA	C16ORF80	Chromosome 16 open reading frame 80	PFAM (WD40, DUF667), SMART (WD40)	No	FALSE
adult gonad by sex	TR239926|c0_g2_i1	142	257.06	6.2026	0	NA		Sterol-sensing domain of SREBP cleavage-activation	PFAM (Patched, Sterol-sensing), SMART (TRANS, COIL)	No	FALSE
adult gonad by sex	TR240119|c1_g6_i1	143	527.4	9.2533	0	NA		IQ	PFAM (IQ), SMART (COIL, IQ)	No	FALSE
adult gonad by sex	TR240840|c1_g1_i1	144	320.52	7.6887	0	NA		serine threonine-protein kinase	PFAM (Pkinase, Pkinase_Tyr), SMART (S_TKc, STYKc, COIL)	No	FALSE
adult gonad by sex	TR241436|c0_g1_i1	148	2006.7	2.6765	0	NA		Interferon-related protein conserved region	PFAM (IFRD, IFRD_C), SMART (COIL, SIGNAL)	No	FALSE
adult gonad by sex	TR241830|c0_g1_i1	151	398.58	5.5583	0	nostrin		Variant SH3 domain	PFAM (SH3_1, SH3_2, FCH), SMART (SH3, COIL)	No	FALSE
adult gonad by sex	TR242024|c5_g1_i2	152	5374.4	11.526	0	NA	C20ORF72	chromosome 20 open reading frame 72		No	FALSE
adult gonad by sex	TR242649|c0_g1_i1	154	320.66	7.9542	0	dynein HC	DNAH3	heavy chain	PFAM (Dynein_heavy, DHC_N2, AAA_5), SMART (COIL, AAA)	No	FALSE
adult gonad by sex	TR243075|c1_g4_i1	155	587.07	10.081	0	NA		BTB And C-terminal Kelch	PFAM (Kelch_1, BACK, BTB, IQ, Kelch_2), SMART (Kelch, BACK, BTB, IQ, TRANS)	No	FALSE
adult gonad by sex	TR243272|c2_g1_i1	156	10026	9.6227	0	hsp90	HSP90AA1	Molecular chaperone that promotes the maturation, structural maintenance and proper regulation of specific target proteins involved for instance in cell cycle control and signal transduction. Undergoes a functional cycle that is linked to its ATPase activity. This cycle probably induces conformational changes in the client proteins, thereby causing their activation. Interacts dynamically with various co-chaperones that modulate its substrate recognition, ATPase cycle and chaperone function	PFAM (HSP90, HATPase_c), SMART (COIL, HATPase_c)	No	FALSE
adult gonad by sex	TR243291|c0_g1_i1	157	1358.2	10.09	0	NA		NA	PFAM (Exo_endo_phos, PRE_C2HC, Phospholip_A2_2), SMART (ZnF_C2HC)	No	FALSE
adult gonad by sex	TR243552|c0_g1_i1	158	671.41	10.882	0	NA	SLC2A2	Solute carrier family 2 (Facilitated glucose transporter) member	PFAM (Sugar_tr, MFS_1, Folate_carrier), SMART (TRANS, COIL, SIGNAL)	No	FALSE
adult gonad by sex	TR243567|c4_g2_i2	160	518.65	5.8107	0	NA		prenylated Rab acceptor	PFAM (PRA1), SMART (TRANS)	No	FALSE
adult gonad by sex	TR243624|c0_g1_i2	161	518.34	10.273	0	NA	TSSK4	Testis-specific serine kinase	PFAM (Pkinase_Tyr, Pkinase, Kdo), SMART (S_TKc, STYKc)	No	FALSE
adult gonad by sex	TR243737|c43_g3_i2	163	1818.5	5.9738	0	NA		NA	SMART (COIL)		FALSE
adult gonad by sex	TR243737|c43_g3_i3	164	550.33	5.9489	0	NA		K10369 supervillin	PFAM (VHP, Gelsolin), SMART (GEL, VHP, COIL)	No	FALSE
adult gonad by sex	TR243841|c0_g1_i1	165	1003.2	11.08	0	NA		manganese ion binding	PFAM (Peptidase_M17, Peptidase_M17_N)	No	FALSE
adult gonad by sex	TR243864|c0_g1_i2	166	736.01	7.2366	0	NA		Chloride channel	PFAM (CBS, Voltage_CLC), SMART (TRANS, CBS)	No	FALSE
adult gonad by sex	TR243888|c0_g1_i1	167	400.2	10.245	0	PKA-R2	PKA-R2	camp-dependent protein kinase	PFAM (cNMP_binding, RIIa), SMART (cNMP, COIL)	No	FALSE
adult gonad by sex	TR244739|c0_g1_i1	168	1382.5	8.17	0	NA		Inherit from euNOG: outer dense fiber of sperm tails 2	SMART (COIL)	No	FALSE
adult gonad by sex	TR245009|c2_g1_i2	171	115.88	6.7538	0	NA		Lanthionine synthetase C-like protein	PFAM (LANC_like), SMART (TRANS)	No	FALSE
adult gonad by sex	TR245812|c0_g2_i1	172	546.14	10.504	0	NA	ZC2HC1C	zinc finger, C2HC-type containing 1C	SMART (COIL)	No	FALSE
adult gonad by sex	TR245838|c0_g1_i2	173	1230.4	10.176	0	NA		Carb_anhydrase	PFAM (Carb_anhydrase), SMART (Carb_anhydrase, TRANS)		FALSE
adult gonad by sex	TR247863|c0_g1_i1	174	1400	7.9874	0	eIF4E					FALSE
adult gonad by sex	TR248636|c0_g1_i1	176	1183.1	3.8047	0	NA		mitochondrial inner membrane	PFAM (Mitofilin), SMART (COIL, TRANS)	No	FALSE
adult gonad by sex	TR248772|c0_g1_i1	177	446.06	6.7523	0	NA	TER94	transitional endoplasmic reticulum ATPase	PFAM (RuvB_N, AAA, CDC48_N, AAA_2, AAA_5, CDC48_2, Vps4_C, Meckelin), SMART (AAA, CDC48_2, CDC48_N, COIL, TRANS)	No	FALSE
adult gonad by sex	TR250902|c3_g2_i1	180	888.24	6.3551	0	NA		Inherit from biNOG: heat shock transcription factor 2 binding protein	SMART (COIL)	No	FALSE
adult gonad by sex	TR252920|c2_g1_i1	183	427.95	4.307	0	NA		poly(ADP-ribose) glycohydrolase	PFAM (ADP_ribosyl_GH), SMART (COIL)	No	FALSE
adult gonad by sex	TR252935|c2_g6_i1	184	236.76	7.781	0	NA		Inherit from biNOG: coiled-coil domain containing 164	PFAM (Far-17a_AIG1), SMART (COIL, TRANS)	No	FALSE
adult gonad by sex	TR253137|c1_g2_i1	186	1031.4	4.6528	0	NA		transmembrane protein 69	PFAM (DUF3429), SMART (TRANS)	No	FALSE
adult gonad by sex	TR253138|c0_g1_i1	187	863.12	10.739	0	Ago3					FALSE
adult gonad by sex	TR253192|c0_g1_i1	188	246.29	9.629	0	NA		Tektin family	PFAM (Tektin), SMART (COIL)	No	FALSE
adult gonad by sex	TR253954|c1_g1_i1	189	1134.4	7.994	0	NA		Thioredoxin	PFAM (Thioredoxin, AhpC-TSA), SMART (SIGNAL, TRANS)	No	FALSE
adult gonad by sex	TR254792|c2_g2_i1	190	609.43	9.5243	0	NA		RINGv	PFAM (zf-C3HC4), SMART (TRANS, RINGv)	No	FALSE
adult gonad by sex	TR254920|c1_g1_i1	191	1127.4	8.636	0	Mlf	MLF	Myeloid leukemia factor	PFAM (Mlf1IP), SMART (TRANS)	No	FALSE
adult gonad by sex	TR256422|c2_g1_i1	194	1017.4	11.047	0	NA	VAPA	VAMP (Vesicle-associated membrane protein)-associated protein	PFAM (Motile_Sperm), SMART (TRANS, COIL)	No	FALSE
adult gonad by sex	TR256497|c1_g1_i7	195	2503.4	5.052	0	arkadia		Zinc finger, C3HC4 type (RING finger)	PFAM (zf-C3HC4), SMART (RING, COIL)	No	FALSE
adult gonad by sex	TR256505|c3_g1_i2	196	1914	3.1763	0	NA		Transcription initiation factor IIF, alpha subunit (TFIIF-alpha)	PFAM (TFIIF_alpha), SMART (COIL)	No	FALSE
adult gonad by sex	TR257214|c4_g1_i1	198	417.89	9.4779	0	NA		mitochondrial import inner membrane translocase, subunit	PFAM (Tim17), SMART (TRANS)	No	FALSE
adult gonad by sex	TR257341|c1_g1_i1	199	480.72	4.4679	0	NA	PGLYM78	Phosphoglycerate mutase	PFAM (PGAM), SMART (PGAM)	No	FALSE
adult gonad by sex	TR257678|c1_g1_i1	201	733.91	-4.1431	0	NA		KH domain	PFAM (KH_1), SMART (KH, RING, COIL)	No	FALSE
adult gonad by sex	TR257929|c0_g1_i1	202	1402.2	5.0172	0	NA	CUL-3	cullin 3	PFAM (Cullin, Cullin_Nedd8, Sedlin_N, Sybindin), SMART (Cullin_Nedd8, CULLIN, COIL)	No	FALSE
adult gonad by sex	TR258177|c0_g1_i3	203	1447.2	11.115	0	NA		UPF0327 protein C1orf151-like	PFAM (DUF543), SMART (TRANS)	No	FALSE
adult gonad by sex	TR259355|c0_g1_i2	204	245.38	9.3663	0	NA		testis-specific serine threonine-protein kinase	PFAM (Pkinase_Tyr, Pkinase, Kdo), SMART (S_TKc, STYKc)	No	FALSE
adult gonad by sex	TR259564|c0_g1_i1	206	1556.7	11.191	0	NA		Inherit from NOG: spermatid development		No	FALSE
adult gonad by sex	TR261399|c2_g1_i1	207	1000.2	6.7136	0	calcyphosin					FALSE
adult gonad by sex	TR262247|c1_g6_i1	209	375.08	9.0853	0	NA		LRR	PFAM (LRR_1), SMART (LRR, COIL)	No	FALSE
adult gonad by sex	TR262621|c0_g1_i1	210	336.18	10.277	0	NA		Protein phosphatase 2A regulatory B subunit (B56 family)	PFAM (B56), SMART (ZnF_C2H2, COIL)	No	FALSE
adult gonad by sex	TR262938|c1_g2_i2	211	735.98	9.4945	0	NA		Inherit from COG: transcription initiation factor tfiid subunit	PFAM (Bromodomain, DUF3591, UPF0089, BTB), SMART (TRANS, COIL, ZnF_C2H2, BROMO, BTB)	No	FALSE
adult gonad by sex	TR263688|c0_g1_i1	214	2363.1	9.4831	0	NA		Carb_anhydrase	PFAM (Carb_anhydrase), SMART (Carb_anhydrase, TRANS)	No	FALSE
adult gonad by sex	TR263757|c1_g1_i1	215	2862.8	10.706	0	NA		serine protease	PFAM (CLIP, Trypsin), SMART (Tryp_SPc, CLIP, SIGNAL, TRANS)	No	FALSE
adult gonad by sex	TR264108|c0_g1_i1	216	1308.7	11.353	0	NA		manganese ion binding	PFAM (Peptidase_M17, Peptidase_M17_N, WD40), SMART (WD40)	No	FALSE
adult gonad by sex	TR264437|c1_g1_i1	218	786.41	6.0889	0	NA		NA	PFAM (MBD, F-box), SMART (FBOX, COIL)		FALSE
adult gonad by sex	TR264555|c1_g1_i2	220	601.15	10.283	0	NA	ATP6V1E2	ATPase, H transporting, lysosomal 31kDa, V1 subunit	PFAM (vATP-synt_E), SMART (COIL)	No	FALSE
adult gonad by sex	TR265384|c1_g1_i1	221	464.84	8.5221	0	fruitless	FRU	fruitless	PFAM (BTB), SMART (ZnF_C2H2, BTB, ZnF_TTF, COIL)	No	FALSE
adult gonad by sex	TR267460|c0_g1_i1	224	1092.1	8.8562	0	NA		Flavin containing amine oxidoreductase	PFAM (Amino_oxidase, FAD_binding_2, DAO, FAD_binding_3, Thi4, Pyr_redox_2, Pyridoxal_deC, Beta_elim_lyase), SMART (TRANS)	No	FALSE
adult gonad by sex	TR267506|c0_g1_i1	225	418.15	-3.2362	0	NA		SHNi-TPR	PFAM (SHNi-TPR), SMART (COIL)	No	FALSE
adult gonad by sex	TR267509|c0_g1_i2	226	109.48	5.1225	0	NA		Inherit from COG: NUDiX hydrolase	PFAM (NUDIX)	No	FALSE
adult gonad by sex	TR268034|c0_g1_i3	227	426.99	6.8872	0	NA		NA	SMART (SIGNAL, TRANS, COIL)	No	FALSE
adult gonad by sex	TR268081|c0_g1_i1	228	219.77	8.0656	0	NA	ARF1	ADP-ribosylation	PFAM (Arf, Ras, SRPRB, Miro, Gtr1_RagA, G-alpha, GTP_EFTU), SMART (ARF, small_GTPase, BBOX)	No	FALSE
adult gonad by sex	TR269077|c1_g1_i1	230	639.15	6.4004	0	isoprenoid synthase	ISPD	isoprenoid synthase domain containing	PFAM (IspD)	No	FALSE
adult gonad by sex	TR272811|c0_g1_i1	232	332.67	10.134	0	NA		NA	SMART (COIL)	No	FALSE
