ovaries by stage	TR228983|c0_g1_i1	26	264.2	-4.6808	2.8723e-114	NA		Sodium:solute symporter family	PFAM (SSF), SMART (TRANS, SIGNAL)	No	FALSE
ovaries by stage	TR262254|c0_g10_i1	27	540.58	8.7158	2.9206e-114	NA		Cuticular protein	PFAM (Chitin_bind_4), SMART (SIGNAL)	No	FALSE
ovaries by stage	TR281101|c0_g1_i1	28	451.56	8.4516	1.1921e-113	NA		Insect cuticle protein	PFAM (Chitin_bind_4), SMART (SIGNAL, COIL)	No	FALSE
ovaries by stage	TR223244|c3_g3_i7	29	220.51	-1.9609	1.5556e-113	Dorsal	DL	Embryonic polarity	PFAM (RHD), SMART (IPT, COIL)	No	FALSE
ovaries by stage	TR218312|c0_g1_i1	30	189.76	2.5689	8.7576e-113	singed	SN	Fascin domain	PFAM (Fascin, FRG1)	No	FALSE
ovaries by stage	TR265319|c0_g2_i1	32	407.9	-3.2586	1.3287e-112	NA		NA	SMART (COIL)		FALSE
ovaries by stage	TR211746|c0_g1_i1	33	932.34	-4.374	1.6088e-112	cyclin-B3	CYCB3	g2 mitotic-specific	PFAM (Cyclin_C, Cyclin_N), SMART (CYCLIN)	No	FALSE
ovaries by stage	TR200039|c0_g1_i2	34	334.97	-2.0701	5.0163e-111	Fsn	DP	Transcription factor	PFAM (E2F_TDP, DP), SMART (DP, COIL)	No	FALSE
ovaries by stage	TR226517|c1_g1_i2	35	611.41	4.0652	2.0635e-110	NA	SAMHD1	SAM domain and HD	PFAM (HD, SAM_2, SAM_1), SMART (HDc, SAM)	No	FALSE
ovaries by stage	TR245339|c1_g1_i2	36	273.71	-3.4477	2.6212e-110	NA		Poly(A) RNA polymerase gld-2	PFAM (PAP_assoc, SAM_1, SAM_2, NTP_transf_2), SMART (SAM, COIL)	No	FALSE
ovaries by stage	TR199602|c0_g1_i1	37	344.31	-3.1221	1.4919e-109	vismay	TGIF2	TGFB-induced factor homeobox 2	PFAM (Coprinus_mating, Homeobox), SMART (HOX)	No	FALSE
ovaries by stage	TR233144|c0_g1_i1	38	520.91	4.4899	3.6731e-109	fizzy	FZY	WD domain, G-beta repeat	PFAM (WD40, NB-ARC, CARD), SMART (WD40)	No	FALSE
ovaries by stage	TR216506|c0_g1_i2	40	196.1	-2.3261	7.8855e-108	ncl-1		Inherit from opiNOG: Zinc finger protein	PFAM (NHL, zf-B_box, zf-C3HC4), SMART (BBOX, BBC, RING, COIL)	No	FALSE
ovaries by stage	TR216366|c0_g1_i1	41	1543.2	-2.9648	1.1556e-107	CENPE					FALSE
ovaries by stage	TR269263|c0_g1_i1	43	665.93	-2.2765	9.1844e-107	NA		Importin subunit alpha	PFAM (Arm, IBB, HEAT, KAP), SMART (ARM)	No	FALSE
ovaries by stage	TR267485|c3_g1_i1	46	754.11	2.7583	6.9102e-106	hexokinase	HEX-A	hexokinase	PFAM (Hexokinase_1, Hexokinase_2)	No	FALSE
ovaries by stage	TR73658|c0_g1_i1	47	134.2	-2.4312	1.0558e-105	NA		BTB/POZ domain	PFAM (BTB), SMART (BTB, AT_hook, COIL)	No	FALSE
ovaries by stage	TR199606|c0_g1_i1	48	291.46	-3.8008	1.2323e-105	Rac		Rac GTPase-activating protein	PFAM (RhoGAP, C1_1), SMART (RhoGAP, C1, COIL)	No	FALSE
ovaries by stage	TR56779|c0_g1_i1	49	187.02	1.7027	4.7391e-105	NA	VHASFD	vacuolar ATP synthase subunit H	PFAM (V-ATPase_H_C, V-ATPase_H_N, DUF634), SMART (ARM)	No	FALSE
ovaries by stage	TR202605|c0_g1_i3	50	353.19	-1.6379	8.0039e-105	NA		Uncharacterized conserved protein H4 (DUF2046)	PFAM (DUF2046), SMART (COIL)	No	FALSE
ovaries by stage	TR227658|c0_g1_i1	52	145.63	-2.234	6.1143e-104	NA		CDK-activating kinase assembly factor	PFAM (MAT1), SMART (COIL, RING)	No	FALSE
ovaries by stage	TR237531|c0_g2_i1	54	602.87	-2.3477	1.1345e-102	NA	CRYAB	Heat Shock Protein	PFAM (HSP20, Crystallin)	No	FALSE
ovaries by stage	TR280033|c1_g1_i1	55	244.12	-3.4741	1.1663e-101	NA	CYCB	cyclin b	PFAM (Cyclin_C, Cyclin_N), SMART (CYCLIN)	No	FALSE
ovaries by stage	TR259787|c0_g1_i1	56	320.14	-2.0529	4.8294e-101	NA	DCP1	Dcp1-like decapping family	PFAM (DCP1)	No	FALSE
ovaries by stage	TR245246|c1_g6_i1	57	257.39	2.9862	6.4806e-100	NA	GPDH	Glycerol-3-phosphate dehydrogenase	PFAM (NAD_Gly3P_dh_C, NAD_Gly3P_dh_N)	No	FALSE
ovaries by stage	TR91737|c0_g1_i1	58	752.38	-2.8433	7.6114e-100	snRNP-E					FALSE
ovaries by stage	TR205781|c0_g1_i1	59	739.73	-1.5771	9.9889e-100	NA		WD repeat and FYVE domain-containing protein	PFAM (WD40, FYVE), SMART (WD40, FYVE)	No	FALSE
ovaries by stage	TR209741|c0_g1_i1	60	194.01	-2.959	1.833e-99	ZFX					FALSE
ovaries by stage	TR277887|c1_g1_i1	61	438.11	-2.1158	2.8638e-99	NA		PP2Cc	PFAM (PP2C), SMART (PP2Cc, PP2C_SIG, COIL)	No	FALSE
ovaries by stage	TR261417|c1_g1_i1	62	124.26	-3.1279	7.2198e-99	NA		Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)	PFAM (RNase_HII), SMART (COIL)	No	FALSE
ovaries by stage	TR207649|c1_g1_i1	63	716.71	-4.3563	1.3194e-98	NA		5-formyltetrahydrofolate cyclo-ligase family	PFAM (5-FTHF_cyc-lig), SMART (COIL)	No	FALSE
ovaries by stage	TR204019|c0_g1_i1	64	97.138	2.5564	1.4075e-98	NA		transporter	PFAM (SNF), SMART (TRANS)	No	FALSE
ovaries by stage	TR208649|c0_g1_i2	65	134.66	-3.1392	1.6194e-98	C-myb	MYB	C-myb, C-terminal	PFAM (Myb_DNA-binding, Cmyb_C), SMART (SANT)	No	FALSE
ovaries by stage	TR252061|c0_g9_i1	66	1348.1	1.7238	1.7612e-98	NA		subunit B	PFAM (ATP-synt_ab, ATP-synt_ab_C, ATP-synt_ab_N)	No	FALSE
ovaries by stage	TR264437|c1_g1_i2	67	323.07	-1.4973	1.859e-98	NA		NA	PFAM (MBD, F-box), SMART (FBOX, COIL)	No	FALSE
ovaries by stage	TR219566|c0_g1_i1	69	193.91	2.2339	2.8159e-98	ALAS	ALAS	5-aminolevulinate synthase	PFAM (Aminotran_5, Cys_Met_Meta_PP, Aminotran_1_2, Beta_elim_lyase)	No	FALSE
ovaries by stage	TR274010|c0_g1_i1	72	398.22	-3.5046	1.0442e-97	eIF4E4	EIF-4E	eukaryotic translation initiation factor	PFAM (IF4E)	No	FALSE
ovaries by stage	TR199395|c0_g1_i1	73	734.37	1.995	1.3442e-97	NA	SCPX	Sterol carrier protein	PFAM (Thiolase_N, Thiolase_C, SCP2, ketoacyl-synt, SpoVAD)	No	FALSE
ovaries by stage	TR209094|c0_g1_i1	74	177.07	-4.0195	1.3442e-97	mad2	MAD2	Mitotic spindle assembly checkpoint protein	PFAM (HORMA)	No	FALSE
ovaries by stage	TR257252|c3_g1_i1	75	143.89	-2.729	5.0197e-97	NA		RNA pseudouridylate synthase	PFAM (PseudoU_synth_2), SMART (SIGNAL)	No	FALSE
ovaries by stage	TR254982|c0_g1_i2	76	576.29	-1.8127	7.5419e-97	NA		Proteasome activator complex subunit	PFAM (PA28_beta, PA28_alpha)	No	FALSE
ovaries by stage	TR282963|c1_g2_i1	77	148.93	-3.3102	7.5419e-97	NA		Inherit from biNOG: centriolar coiled coil protein 110kDa	SMART (IQ, COIL)	No	FALSE
ovaries by stage	TR206793|c1_g1_i2	81	143.1	-4.145	1.6853e-96	NA		Inherit from biNOG: family with sequence similarity 179, member	PFAM (CLASP_N), SMART (COIL, TRANS)	No	FALSE
ovaries by stage	TR263029|c0_g2_i1	82	289.15	-2.9423	6.0186e-96	NA	POLO	serine threonine-protein kinase	PFAM (POLO_box, Pkinase, Pkinase_Tyr), SMART (S_TKc, STYKc)	No	FALSE
ovaries by stage	TR65549|c0_g1_i1	83	238.77	-3.0649	4.7742e-95	NA		NA	SMART (COIL)	No	FALSE
ovaries by stage	TR229914|c4_g1_i3	84	198.22	-3.3911	5.3249e-95	NA		HELICc2	PFAM (DEAD_2, IU_nuc_hydro), SMART (HELICc2, COIL, DEXDc2, DEXDc)	No	FALSE
ovaries by stage	TR255599|c0_g1_i5	85	432.03	-2.1738	8.2522e-95	NA	TRA2	Required for female sex determination in somatic cells and for spermatogenesis in male germ cells. Positive regulator of female-specific splicing and or polyadenylation of doublesex (dsx) pre-mRNA. Splicing requires an enhancer complex, dsxRE (dsx repeat element which contains six copies of a 13-nucleotide repeat and a purine-rich enhancer (PRE)). DsxRE is formed through cooperative interactions between tra, tra2 and the sr proteins, and these interactions require both the repeat sequences and PRE. PRE is required for specific binding of tra2 to the dsxRE. Protein-RNA and protein-protein interactions are involved in tra-2 dependent activation and repression of alternative splicing	PFAM (RRM_1), SMART (RRM, TRANS)	No	FALSE
ovaries by stage	TR275599|c1_g1_i1	87	375.33	1.9061	1.8933e-93	piggyBac		Inherit from biNOG: piggyBac transposable element derived	SMART (TRANS)	No	FALSE
ovaries by stage	TR243636|c0_g3_i1	89	170.41	-3.3529	5.3478e-93	NA	CDK1	Cyclin-dependent kinase 1	PFAM (Pkinase_Tyr, Pkinase), SMART (S_TKc)	No	FALSE
ovaries by stage	TR257232|c2_g1_i1	90	313.36	-1.9651	5.3478e-93	NA		tyrosine-protein kinase receptor	PFAM (fn3, Pkinase_Tyr, Pkinase), SMART (FN3, LY, TRANS, TyrKc)	No	FALSE
ovaries by stage	TR243628|c0_g1_i1	91	1082.1	-2.1708	7.3105e-93	ctystallin-aB	CRYAB	Heat Shock Protein	PFAM (HSP20, Crystallin)	No	FALSE
ovaries by stage	TR251587|c0_g1_i1	92	187.21	-3.8232	7.6936e-93	NA	CYCA	cyclin a	PFAM (Cyclin_C, Cyclin_N), SMART (CYCLIN)	No	FALSE
ovaries by stage	TR223428|c0_g1_i1	94	748.56	-1.9858	1.2943e-92	NA	RPN3	regulatory subunit	PFAM (Rpn3_C, PCI), SMART (COIL, PAM, PINT)	No	FALSE
ovaries by stage	TR220077|c0_g1_i1	96	462	2.9907	5.8552e-92	NA		Multidrug resistance-associated protein	PFAM (ABC_membrane, ABC_tran), SMART (TRANS, AAA, COIL)	No	FALSE
ovaries by stage	TR218291|c0_g1_i1	97	151.69	-3.9961	1.7752e-91	pavarotti	PAV	KISc	PFAM (Kinesin), SMART (COIL, KISc)	No	FALSE
ovaries by stage	TR275707|c0_g1_i1	98	121.73	-4.8285	3.4628e-91	NA		26S proteasome non-ATPase regulatory subunit	PFAM (PDZ), SMART (COIL, PDZ)	No	FALSE
ovaries by stage	TR284888|c0_g1_i5	99	286.43	-4.6912	3.5755e-91	NA		to MAPK MAK MRK overlapping kinase (MOK protein kinase) (Renal tumor antigen 1) (RAGE-1)	PFAM (Pkinase_Tyr, Pkinase), SMART (S_TKc, STYKc)	No	FALSE
ovaries by stage	TR252879|c0_g1_i1	102	1154.8	-4.7138	1.9186e-90	NA		Amidase	PFAM (Amidase), SMART (TRANS, SIGNAL)	No	FALSE
ovaries by stage	TR38272|c0_g1_i1	105	494.66	-1.8103	2.4147e-89	NA		mRNA binding	PFAM (RRM_1), SMART (RRM)	No	FALSE
ovaries by stage	TR253334|c0_g1_i1	106	525.22	1.9088	1.1853e-88	NA	THO2	THO complex subunit	PFAM (Thoc2, Tho2), SMART (COIL)	No	FALSE
ovaries by stage	TR206425|c0_g1_i3	107	327.84	-1.664	2.0179e-88	NA		Growth factor receptor-bound protein	PFAM (RA, PH), SMART (PH, RA, COIL)	No	FALSE
ovaries by stage	TR279480|c0_g3_i1	109	146.93	-3.0359	6.4191e-88	NA	TRIP13	thyroid hormone receptor interactor 13	PFAM (AAA, NACHT, UPF0079), SMART (AAA, TRANS)	No	FALSE
ovaries by stage	TR207640|c0_g1_i1	110	280.18	3.3025	9.1626e-88	NA	ARC42	acyl-CoA dehydrogenase	PFAM (Acyl-CoA_dh_N, Acyl-CoA_dh_M, Acyl-CoA_dh_1, Acyl-CoA_dh_2)	No	FALSE
ovaries by stage	TR208897|c0_g2_i2	111	188.75	-2.3757	9.7013e-88	E(z)	E(Z)	Enhancer of zeste	PFAM (SET), SMART (SANT, SET, CXC, COIL)	No	FALSE
ovaries by stage	TR217416|c0_g1_i1	112	1044.5	-4.1891	1.0242e-87	NA		high mobility group box 1	PFAM (HMG_box), SMART (HMG)	No	FALSE
ovaries by stage	TR200958|c6_g2_i1	116	171.65	-1.9965	2.4454e-87	NA	BIRC5	Baculoviral IAP repeat containing 5	PFAM (BIR), SMART (BIR, COIL)	No	FALSE
ovaries by stage	TR240135|c0_g1_i1	117	84.524	3.9822	2.8197e-87	NA	JHI-26	Juvenile hormone-inducible protein	PFAM (DUF227, DUF1679, APH, Choline_kinase), SMART (CHK, TRANS)	No	FALSE
ovaries by stage	TR232052|c5_g2_i1	118	366.36	-1.9879	3.9787e-87	NA	GUS	SPRY domain-containing SOCS box protein	PFAM (SPRY, SOCS_box), SMART (SOCS_box, SPRY)	No	FALSE
ovaries by stage	TR241294|c0_g1_i1	119	250.35	-4.3948	4.2159e-87	NA	YL	vitellogenin receptor	PFAM (Ldl_recept_a, Ldl_recept_b, EGF_CA), SMART (LDLa, LY, EGF, EGF_CA, TRANS, EGF_like, SIGNAL)	No	FALSE
ovaries by stage	TR250239|c0_g1_i2	120	180.37	-3.3592	5.4126e-87	NA	ORB	oo18 RNA-binding protein	PFAM (RRM_1), SMART (RRM, RRM_2, COIL)	No	FALSE
ovaries by stage	TR215994|c0_g1_i1	123	194.62	-2.6696	2.8525e-86	NA		maternal embryonic leucine zipper	PFAM (Pkinase_Tyr, KA1, Kdo, Pkinase), SMART (S_TKc)	No	FALSE
ovaries by stage	TR201796|c1_g2_i7	125	184.29	2.9235	4.5473e-86	NA		Glyoxylate reductase hydroxypyruvate reductase	PFAM (2-Hacid_dh_C, 2-Hacid_dh, NAD_binding_2, AdoHcyase_NAD, F420_oxidored)	No	FALSE
ovaries by stage	TR255749|c5_g2_i1	128	466.35	2.8518	2.1491e-85	NA		dehydrogenase reductase SDR family member 11-like	PFAM (adh_short, KR, Epimerase)	No	FALSE
ovaries by stage	TR285650|c0_g1_i1	129	165.02	-2.9436	3.6098e-85	NA		KISc	PFAM (Kinesin), SMART (COIL, KISc)	No	FALSE
ovaries by stage	TR219225|c0_g1_i2	130	374.56	-1.3119	3.8427e-85	NA		arginine serine-rich splicing factor	PFAM (RRM_1, zf-CCHC), SMART (RRM, ZnF_C2HC)	No	FALSE
ovaries by stage	TR285240|c1_g4_i2	131	152.89	-3.3441	7.4247e-85	NA		Spc97 / Spc98 family	PFAM (Spc97_Spc98), SMART (COIL)	No	FALSE
ovaries by stage	TR13637|c0_g1_i1	133	105.33	-3.2213	1.0878e-84	Med4	MED4	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors	PFAM (Med4), SMART (COIL)	No	FALSE
ovaries by stage	TR255599|c0_g1_i1	134	314.36	-1.8522	1.1764e-84	NA	TRA2	Required for female sex determination in somatic cells and for spermatogenesis in male germ cells. Positive regulator of female-specific splicing and or polyadenylation of doublesex (dsx) pre-mRNA. Splicing requires an enhancer complex, dsxRE (dsx repeat element which contains six copies of a 13-nucleotide repeat and a purine-rich enhancer (PRE)). DsxRE is formed through cooperative interactions between tra, tra2 and the sr proteins, and these interactions require both the repeat sequences and PRE. PRE is required for specific binding of tra2 to the dsxRE. Protein-RNA and protein-protein interactions are involved in tra-2 dependent activation and repression of alternative splicing	PFAM (RRM_1), SMART (RRM, TRANS)	No	FALSE
ovaries by stage	TR237057|c0_g1_i3	135	218.31	8.7717	4.1162e-84	NA		Insect cuticle protein	PFAM (Chitin_bind_4), SMART (SIGNAL, COIL)		FALSE
ovaries by stage	TR275722|c0_g1_i1	137	69.904	-4.4758	5.4618e-84	NA	NAU	Myogenic Basic domain	PFAM (HLH, Basic, Myf5), SMART (HLH, BASIC, COIL, TRANS)	No	FALSE
ovaries by stage	TR208820|c0_g1_i4	139	243.63	7.5722	7.9248e-84	cuticle prot		Cuticular protein	PFAM (Chitin_bind_4), SMART (SIGNAL)	No	FALSE
ovaries by stage	TR227602|c0_g1_i1	140	824.95	-1.8442	7.9531e-84	NA		DKCLD (NUC011) domain	PFAM (DKCLD, PUA, TruB_N, LRR_1, I-set), SMART (PUA, DKCLD, LRR, COIL, LRR_TYP, IGc2, LRRNT, LRRCT)	No	FALSE
ovaries by stage	TR277786|c0_g1_i1	141	155.59	-2.7938	8.6857e-84	NA		Inherit from KOG: Retrotransposon protein	PFAM (RVT_1, Exo_endo_phos), SMART (COIL, TPR)	No	FALSE
ovaries by stage	TR206931|c0_g1_i1	142	249.2	-2.3244	9.3529e-84	NA		methyltransferase activity	PFAM (Bin3, Methyltransf_11, Methyltransf_12, PrmA, MTS, Methyltransf_4, DOT1, PCMT, CMAS), SMART (COIL)	No	FALSE
ovaries by stage	TR242644|c4_g2_i2	144	83.916	-2.7945	2.5999e-83	NA	LOK	serine threonine-protein kinase	PFAM (Pkinase, Pkinase_Tyr, FHA, Kdo), SMART (FHA, S_TKc, STYKc)	No	FALSE
ovaries by stage	TR204414|c1_g11_i1	147	276.83	-2.439	9.0953e-83	NA		tar RNA binding protein	PFAM (dsrm), SMART (DSRM)	No	FALSE
ovaries by stage	TR264508|c3_g1_i2	148	105.88	2.0632	9.7384e-83	NA		ec 1.11.1.15	PFAM (1-cysPrx_C, Redoxin, AhpC-TSA), SMART (SIGNAL, TRANS)	No	FALSE
ovaries by stage	TR50814|c0_g1_i1	149	66.036	-3.1154	1.0716e-82	NA		Tetratricopeptide repeat protein	PFAM (TPR_1, TPR_2), SMART (TPR, COIL)	No	FALSE
ovaries by stage	TR247044|c34_g1_i1	150	669.03	-1.6625	2.382e-82	NA		Regulator of chromosome condensation (RCC1) repeat	PFAM (RCC1)	No	FALSE
ovaries by stage	TR205233|c0_g1_i2	151	47.716	3.8778	4.7613e-82	NA		leucine-rich repeat flightless-interacting protein	PFAM (DUF2051), SMART (COIL)	No	FALSE
ovaries by stage	TR204612|c0_g1_i1	152	124.23	-2.8875	5.9914e-82	gemin-3	GEM3	DEAD/DEAH box helicase	PFAM (Helicase_C, DEAD, ResIII), SMART (HELICc, DEXDc, COIL)	No	FALSE
ovaries by stage	TR231027|c0_g1_i2	155	193.87	1.6417	9.0441e-82	NA		amino acid transporter	PFAM (Aa_trans, Spore_permease, Trp_Tyr_perm), SMART (TRANS, SIGNAL)	No	FALSE
ovaries by stage	TR238911|c0_g1_i1	156	256.76	-1.6962	1.6927e-81	NA		SSXT protein (N-terminal region)	PFAM (SSXT), SMART (COIL)		FALSE
ovaries by stage	TR238381|c1_g1_i1	158	740.97	-1.8342	1.8976e-81	NA		Nuclear migration protein	PFAM (CS), SMART (COIL)	No	FALSE
ovaries by stage	TR236464|c1_g2_i4	159	230.97	1.9243	3.4061e-81	NA	CHB	CLASP N terminal	PFAM (CLASP_N, HEAT, Ipi1_N, ParcG), SMART (COIL)	No	FALSE
ovaries by stage	TR205330|c2_g1_i1	160	320.34	-2.6145	4.3607e-81	NA	SUB	KISc	PFAM (Kinesin), SMART (COIL, KISc)	No	FALSE
ovaries by stage	TR218322|c3_g1_i2	162	1217.2	-1.7323	6.8269e-81	NA		Acidic leucine-rich nuclear phosphoprotein 32 family member	PFAM (LRR_1), SMART (LRRcap, LRR, COIL, TRANS)	No	FALSE
ovaries by stage	TR216037|c0_g2_i1	164	1023.5	-1.3301	1.2666e-80	NA	AKIRIN	Inherit from biNOG: Akirin 2	SMART (TRANS)	No	FALSE
ovaries by stage	TR255595|c0_g1_i1	165	164.96	-3.6602	3.3503e-80	NA		IG	PFAM (I-set, V-set), SMART (IG, TRANS, SIGNAL)	No	FALSE
ovaries by stage	TR237057|c0_g1_i2	166	417.22	9.0996	7.3101e-80	cuticle prot		Insect cuticle protein	PFAM (Chitin_bind_4), SMART (SIGNAL, COIL)		FALSE
ovaries by stage	TR217764|c15_g1_i1	167	92.851	2.6826	8.5588e-80	peptidase	PEPD	peptidase D	PFAM (Peptidase_M24, AMP_N), SMART (AMP_N)	No	FALSE
ovaries by stage	TR282545|c0_g1_i1	168	204.93	1.6098	1.4283e-79	NA		Sel1 repeat	PFAM (Sel1), SMART (SEL1, TRANS)	No	FALSE
ovaries by stage	TR204431|c0_g1_i1	170	188.93	-2.3662	2.6632e-79	NA		Transmembrane protein	PFAM (Macoilin), SMART (TRANS, COIL)	No	FALSE
ovaries by stage	TR205307|c2_g1_i2	171	33.558	4.9605	3.0051e-79	NA	SUG	Nucleoside H+ symporter	PFAM (MFS_1, Nuc_H_symport, LacY_symp), SMART (TRANS)	No	FALSE
ovaries by stage	TR61265|c0_g1_i1	172	116.65	-4.3445	3.9887e-79	NA	CBP	Sarcoplasmic calcium-binding protein	PFAM (efhand), SMART (EFh)	No	FALSE
ovaries by stage	TR224554|c0_g1_i1	174	166.5	-1.7598	7.0189e-79	NA		NA	SMART (TRANS, SIGNAL, COIL)	No	FALSE
ovaries by stage	TR254080|c0_g1_i2	178	866.57	-1.7952	5.1184e-78	NA		ubiquitin carboxyl-terminal hydrolase	PFAM (UCH, zf-UBP)	No	FALSE
ovaries by stage	TR256423|c0_g1_i1	179	199.48	-2.1646	2.3404e-77	NA		PWWP domain	PFAM (PWWP, Bromodomain, zf-MYND), SMART (COIL, BROMO, PHD)	No	FALSE
ovaries by stage	TR284776|c0_g1_i1	182	124.46	2.4569	8.5888e-77	NA		acyl-Coenzyme A oxidase	PFAM (ACOX, Acyl-CoA_dh_M, Acyl-CoA_dh_1)	No	FALSE
ovaries by stage	TR262984|c4_g1_i1	183	152.12	-2.6467	8.8991e-77	NA		Phosphate transporter family	PFAM (PHO4), SMART (TRANS, COIL)	No	FALSE
ovaries by stage	TR208422|c0_g1_i2	184	77.705	5.8515	1.2346e-76	NA		ec 3.2.1.49	PFAM (Melibiase), SMART (SIGNAL, TRANS)	No	FALSE
ovaries by stage	TR235346|c3_g1_i1	185	223.43	1.5314	2.4736e-76	NA		Acyltransferase	PFAM (Acyltransferase), SMART (TRANS, PlsC)	No	FALSE
ovaries by stage	TR217917|c0_g1_i1	186	170.62	-2.7301	2.5867e-76	bora	BORA	aurora borealis	SMART (COIL)	No	FALSE
ovaries by stage	TR286550|c0_g1_i4	187	128.84	-1.9081	5.9202e-76	NA	HMG20A	High mobility group 20A	PFAM (HMG_box), SMART (COIL, HMG)	No	FALSE
ovaries by stage	TR262540|c0_g1_i1	191	130.86	-2.3608	1.9846e-75	NA	ASF1	Histone chaperone	PFAM (ASF1_hist_chap)	No	FALSE
ovaries by stage	TR212997|c0_g2_i6	195	1453.9	-2.6742	6.7994e-75	trailer hitch	TRAL	Pfam:FFD_TFG	PFAM (FFD_TFG, DFDF), SMART (FDF, COIL)	No	FALSE
ovaries by stage	TR269236|c0_g1_i1	196	93.624	2.2391	7.048e-75	NA		Pfam:P_ATPase	PFAM (E1-E2_ATPase, P_ATPase, Cation_ATPase_N, Hydrolase), SMART (TRANS, Cation_ATPase_N)	No	FALSE
ovaries by stage	TR223334|c0_g1_i1	197	187.72	-3.3135	7.6729e-75	NA		NHL repeat	PFAM (NHL, zf-B_box, zf-C3HC4, Filamin, SGL), SMART (BBOX, COIL, RING, IG_FLMN)	No	FALSE
ovaries by stage	TR240788|c1_g1_i1	198	570.92	-1.4287	1.0664e-74	NA		RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	PFAM (RRM_1, Limkain-b1), SMART (RRM)		FALSE
